COUNTY,ZCTA5,EDU,POPPT,INC
QUEENS,11368,11.8,109931,45964.0
KINGS,11226,21.9,101572,40734.0
QUEENS,11373,25.7,100820,47667.0
KINGS,11220,18.5,99598,37580.0
QUEENS,11385,19.5,98592,50799.0
BRONX,10467,18.5,97060,36048.0
MANHATTAN,10025,68.0,94600,68516.0
KINGS,11208,10.2,94469,35079.0
KINGS,11236,24.9,93877,61061.0
KINGS,11207,13.1,93386,32945.0
KINGS,11219,16.6,92221,34316.0
KINGS,11211,40.7,90117,46848.0
QUEENS,11377,28.7,89830,49886.0
KINGS,11214,22.6,88630,43398.0
KINGS,11234,31.4,87757,68431.0
BRONX,10456,10.2,86547,23452.0
KINGS,11230,37.3,86408,42170.0
QUEENS,11355,26.7,85871,41884.0
RICHMOND,10314,30.6,85510,77242.0
KINGS,11212,10.2,84500,28348.0
KINGS,11206,18.9,81677,28559.0
MANHATTAN,10002,29.3,81410,33218.0
KINGS,11229,35.3,80018,51725.0
BRONX,10458,11.8,79492,24618.0
KINGS,11235,42.5,79132,41639.0
KINGS,11221,18.8,78895,39178.0
KINGS,11223,24.2,78731,41328.0
BRONX,10453,12.1,78309,25470.0
KINGS,11204,23.5,78134,45472.0
KINGS,11203,20.2,76174,48400.0
BRONX,10468,15.8,76103,33776.0
MANHATTAN,10029,30.0,76003,31888.0
BRONX,10462,23.9,75784,45864.0
BRONX,10452,10.9,75371,25979.0
KINGS,11218,39.8,75220,52445.0
BRONX,10457,11.8,70496,24949.0
KINGS,11209,43.9,68853,58261.0
QUEENS,11375,56.1,68733,72000.0
BRONX,10466,20.9,67813,44012.0
KINGS,11233,19.3,67053,34492.0
QUEENS,11372,29.2,66636,48683.0
BRONX,10469,25.4,66631,57776.0
BRONX,10472,11.5,66358,30288.0
KINGS,11213,20.0,63767,34794.0
KINGS,11215,69.4,63488,95654.0
KINGS,11210,32.6,62008,55429.0
MANHATTAN,10009,57.6,61347,59929.0
MANHATTAN,10023,79.5,60998,103534.0
QUEENS,11432,34.4,60809,50450.0
MANHATTAN,10128,78.0,60453,96296.0
QUEENS,11691,21.5,60035,39409.0
MANHATTAN,10027,44.3,59707,37872.0
BRONX,10463,36.4,59507,54258.0
RICHMOND,10312,31.7,59304,85324.0
MANHATTAN,10024,77.7,59283,109956.0
QUEENS,11434,21.0,59129,59229.0
BRONX,10473,17.1,58519,35866.0
MANHATTAN,10032,26.5,57331,34568.0
BRONX,10460,11.1,57311,22307.0
KINGS,11225,28.5,56829,42922.0
MANHATTAN,10031,30.5,56438,37655.0
MANHATTAN,10003,77.6,56024,92540.0
RICHMOND,10306,29.6,55909,75807.0
QUEENS,11354,27.5,54878,46566.0
KINGS,11216,34.7,54316,43996.0
MANHATTAN,10016,79.4,54183,105324.0
MANHATTAN,10033,31.7,53926,41556.0
QUEENS,11435,28.4,53687,53041.0
KINGS,11201,69.5,51128,95369.0
MANHATTAN,10011,77.1,50984,104238.0
BRONX,10461,25.3,50502,52347.0
KINGS,11237,17.6,49896,40372.0
KINGS,11238,56.0,49262,65315.0
KINGS,11224,29.2,47621,27481.0
BRONX,10459,10.6,47308,24461.0
QUEENS,11419,17.9,47211,56735.0
BRONX,10451,14.5,45713,26754.0
MANHATTAN,10028,81.4,45141,104638.0
QUEENS,11420,18.7,44354,59832.0
MANHATTAN,10021,80.0,43631,107907.0
QUEENS,11374,48.5,43600,52532.0
